,price,area,status,bedrooms,bathroom,age
0,49.0,1028,1,2,2.0,3.0
1,42.28,588,0,2,1.0,0.0
2,188.0,2221,0,3,3.0,0.0
3,240.0,1500,1,3,3.0,1.0
4,113.0,2343,1,4,4.0,5.0
5,50.76,1045,1,2,2.0,1.0
6,57.5,920,0,2,1.0,0.0
7,42.28,588,0,2,1.0,0.0
8,50.21,1152,1,2,3.0,1.0
9,47.04,920,0,2,2.0,0.0
10,43.44,932,0,2,2.0,0.0
11,71.08,1021,0,2,1.0,0.0
12,188.0,2221,0,3,3.0,0.0
13,66.44,923,0,2,2.0,0.0
14,644.0,3681,0,4,4.0,0.0
15,39.75,1205,1,3,2.0,1.0
16,115.0,1630,0,3,3.0,0.0
17,62.7,1280,0,3,2.0,0.0
18,94.51,1400,0,3,2.0,0.0
19,62.7,1280,0,3,2.0,0.0
20,188.0,2221,0,3,3.0,0.0
21,188.0,2221,0,3,3.0,0.0
22,62.6,1360,0,3,2.0,0.0
23,90.29,1962,0,3,3.0,0.0
24,138.0,2211,0,4,2.0,0.0
25,85.99,1470,0,3,2.0,0.0
26,61.48,1051,0,2,2.0,0.0
27,70.02,1197,0,2,2.0,0.0
28,51.38,1209,0,2,2.0,0.0
29,57.5,1353,0,3,2.0,0.0
30,70.38,1656,0,3,3.0,0.0
31,65.02,1530,0,3,3.0,0.0
32,59.33,1396,0,3,2.0,0.0
33,68.69,1494,0,3,2.0,0.0
34,68.69,1494,0,3,2.0,0.0
35,24.41,618,0,2,1.0,0.0
36,78.1,1085,0,3,3.0,0.0
37,71.05,1579,1,3,3.0,5.0
38,16.0,319,0,1,1.0,0.0
39,15.36,300,0,1,1.0,0.0
40,121.0,2583,1,4,2.0,1.0
41,123.0,2635,1,4,4.0,1.0
42,85.99,1865,1,3,3.0,1.0
43,64.99,1274,0,2,2.0,0.0
44,99.5,1914,0,3,3.0,0.0
45,67.7,1328,0,2,2.0,0.0
46,77.89,1528,0,3,2.0,0.0
47,79.16,1616,1,3,2.0,1.0
48,90.74,1396,0,3,2.0,0.0
49,32.62,989,1,2,2.0,1.0
50,69.92,1470,1,3,3.0,1.0
51,44.64,919,1,2,2.0,1.0
52,59.98,1261,1,3,3.0,1.0
53,63.22,1329,1,3,3.0,1.0
54,56.98,1198,1,3,3.0,1.0
55,98.42,1550,0,3,3.0,0.0
56,98.42,1550,0,3,3.0,0.0
57,74.25,1114,1,2,2.0,4.0
58,42.28,588,0,2,1.0,0.0
59,42.28,588,0,2,1.0,0.0
60,42.28,588,0,2,1.0,0.0
61,71.08,1021,0,2,1.0,0.0
62,71.08,1021,0,2,1.0,0.0
63,94.51,1400,0,3,2.0,0.0
64,94.51,1400,0,3,2.0,0.0
65,62.7,1280,0,3,2.0,0.0
66,62.7,1280,0,3,2.0,0.0
67,50.21,1152,1,2,3.0,1.0
68,49.99,1147,1,2,1.0,1.0
69,49.99,1147,1,2,1.0,1.0
70,59.33,1361,1,2,1.0,1.0
71,59.33,1361,1,2,1.0,1.0
72,56.46,1295,1,2,1.0,1.0
73,56.46,1295,1,2,1.0,1.0
74,54.96,1261,1,2,1.0,1.0
75,54.96,1261,1,2,1.0,1.0
76,55.14,1265,1,2,3.0,1.0
77,55.14,1265,1,2,3.0,1.0
78,51.44,973,0,2,2.0,0.0
79,35.49,910,0,3,2.0,0.0
80,37.86,971,0,3,2.0,0.0
81,24.68,633,0,2,1.0,0.0
82,121.0,1790,1,3,2.0,4.0
83,115.0,1700,1,3,3.0,4.0
84,64.59,1244,0,3,3.0,0.0
85,59.08,1143,0,3,3.0,0.0
86,64.59,1244,0,3,3.0,0.0
87,64.59,1244,0,3,3.0,0.0
88,59.08,1143,0,3,3.0,0.0
89,59.08,1143,0,3,3.0,0.0
90,59.41,1150,0,3,3.0,0.0
91,59.41,1150,0,3,3.0,0.0
92,64.02,1246,0,3,3.0,0.0
93,64.02,1246,0,3,3.0,0.0
94,70.67,1155,0,3,3.0,0.0
95,70.67,1155,0,3,3.0,0.0
96,58.77,1124,0,3,3.0,0.0
97,58.77,1124,0,3,3.0,0.0
98,89.0,1414,1,3,3.0,2.0
99,40.31,1222,1,3,2.0,3.0
100,44.89,1361,1,3,3.0,3.0
101,24.84,753,1,1,1.0,3.0
102,54.1,1002,1,2,2.0,1.0
103,54.1,1002,1,2,2.0,1.0
104,76.68,1420,1,3,3.0,1.0
105,88.23,1634,1,3,3.0,1.0
106,264.0,1500,0,3,3.0,0.0
107,411.0,2230,0,4,4.0,0.0
108,63.1,1242,0,2,2.0,0.0
109,63.1,1242,0,2,2.0,0.0
110,63.51,1250,0,2,2.0,0.0
111,63.3,1246,0,2,2.0,0.0
112,33.77,605,0,1,1.0,0.0
113,33.44,599,0,1,1.0,0.0
114,33.6,602,0,1,1.0,0.0
115,62.85,1237,0,2,2.0,0.0
116,70.2,1329,0,2,2.0,0.0
117,68.64,1351,0,2,2.0,0.0
118,80.23,1592,0,3,3.0,0.0
119,79.38,1575,0,3,2.0,0.0
120,63.96,1259,0,2,2.0,0.0
121,64.52,1270,0,2,2.0,0.0
122,40.0,1047,1,2,2.0,4.0
123,42.43,943,1,2,2.0,4.0
124,220.0,1500,1,3,2.0,11.0
125,72.0,1400,1,3,2.0,7.0
126,45.0,909,1,2,2.0,3.0
127,140.0,1270,1,3,2.0,13.0
128,100.0,1735,1,3,3.0,7.0
129,55.0,1050,1,1,2.0,9.0
130,165.0,2280,1,4,3.0,5.0
131,220.0,1438,1,3,2.0,3.0
132,50.0,905,1,2,2.0,6.0
133,28.0,502,1,1,1.0,9.0
134,69.0,1071,1,2,2.0,1.0
135,68.49,1343,1,3,4.0,2.0
136,32.0,612,1,2,2.0,3.0
137,25.0,605,1,1,1.0,4.0
138,19.59,540,1,1,2.0,3.0
139,65.0,1047,1,2,2.0,4.0
140,35.0,840,1,2,2.0,5.0
141,100.0,1400,1,3,3.0,3.0
142,28.5,736,1,2,2.0,4.0
143,26.0,850,1,2,2.0,3.0
144,30.0,960,1,2,2.0,3.0
145,72.0,1957,1,3,3.0,6.0
146,40.0,680,1,2,1.0,12.0
147,45.0,580,1,1,1.0,4.0
148,45.0,840,1,2,2.0,7.0
149,46.06,940,1,2,2.0,5.0
150,50.22,1025,1,2,2.0,5.0
151,43.61,890,1,2,2.0,5.0
152,39.93,815,1,2,2.0,5.0
153,50.47,1030,1,2,2.0,5.0
154,50.47,1030,1,2,2.0,5.0
155,42.23,862,1,2,2.0,5.0
156,250.0,1942,1,3,3.0,4.0
157,47.02,825,1,2,2.0,3.0
158,37.0,730,1,2,2.0,4.0
159,55.99,1015,1,2,2.0,4.0
160,39.15,1050,1,2,2.0,4.0
161,58.58,1100,1,2,3.0,4.0
162,54.22,1015,1,2,2.0,4.0
163,44.19,878,1,2,2.0,4.0
164,39.73,790,1,2,2.0,4.0
165,79.8,1400,1,3,3.0,3.0
166,200.0,1844,1,3,3.0,16.0
167,59.0,1096,1,3,2.0,9.0
168,168.0,994,0,2,2.0,0.0
169,362.0,2133,0,2,2.0,0.0
170,35.0,620,1,1,1.0,3.0
171,38.5,800,1,2,2.0,6.0
172,420.0,1975,1,3,3.0,6.0
173,37.8,790,1,2,2.0,4.0
