month,day,year,kolkata,mumbai,chennai,delhi
1,1,1995,63.0,71.8,72.4,50.7
1,2,1995,61.4,72.0,73.5,52.1
1,3,1995,60.6,70.3,72.6,53.8
1,4,1995,61.3,69.7,75.2,53.7
1,5,1995,62.3,71.3,74.8,54.5
1,6,1995,66.6,73.9,76.4,54.3
1,7,1995,66.8,72.9,78.4,57.1
1,8,1995,66.9,70.2,78.6,55.6
1,9,1995,62.7,68.4,78.1,54.0
1,10,1995,66.8,68.0,79.3,52.4
1,11,1995,67.0,69.9,77.9,54.8
1,12,1995,63.9,69.8,79.0,54.5
1,13,1995,63.2,71.0,73.4,55.5
1,14,1995,59.8,73.9,76.7,56.4
1,15,1995,61.7,73.4,73.7,55.8
1,16,1995,67.0,70.4,77.0,56.4
1,17,1995,66.0,74.9,71.1,53.7
1,18,1995,67.5,74.5,72.6,53.7
1,19,1995,64.6,73.0,76.1,54.5
1,20,1995,62.8,71.9,75.7,56.0
1,21,1995,64.9,71.3,74.2,56.3
1,22,1995,65.2,73.3,74.3,53.7
1,23,1995,63.9,71.4,74.8,53.6
1,24,1995,62.6,71.3,75.1,55.5
1,25,1995,61.3,70.2,75.0,58.0
1,26,1995,62.8,73.0,76.7,58.3
1,27,1995,65.3,73.8,75.8,59.8
1,28,1995,66.0,77.5,74.7,61.4
1,29,1995,65.2,76.8,75.1,60.3
1,30,1995,68.2,76.1,77.2,56.8
1,31,1995,67.3,78.3,77.9,58.8
2,1,1995,63.2,78.9,77.9,58.0
2,2,1995,66.0,78.3,76.8,57.0
2,3,1995,69.9,73.3,78.2,58.3
2,4,1995,68.1,74.7,78.2,58.5
2,5,1995,68.3,77.3,78.9,58.3
2,6,1995,68.0,80.2,78.8,58.5
2,7,1995,66.8,83.2,76.9,62.7
2,8,1995,69.8,81.0,76.8,65.0
2,9,1995,70.2,78.8,77.8,66.3
2,10,1995,73.3,77.8,77.9,67.6
2,11,1995,72.8,76.8,77.7,66.5
2,12,1995,74.5,75.9,77.1,68.4
2,13,1995,79.7,75.7,76.6,69.1
2,14,1995,78.4,74.1,76.9,66.8
2,15,1995,73.7,73.4,77.3,62.4
2,16,1995,69.6,74.5,79.7,62.5
2,17,1995,71.1,75.3,80.9,63.5
2,18,1995,73.8,72.3,81.9,66.6
2,19,1995,71.4,73.1,81.9,64.0
2,20,1995,72.5,76.9,81.2,64.9
2,21,1995,76.7,77.9,80.2,62.1
2,22,1995,75.6,74.6,80.2,53.8
2,23,1995,75.1,76.2,79.5,54.2
2,24,1995,70.6,72.3,80.6,58.3
2,25,1995,68.7,76.1,79.8,59.7
2,26,1995,72.2,76.2,78.7,65.8
2,27,1995,71.1,75.3,81.0,64.6
2,28,1995,75.5,73.9,80.2,62.9
3,1,1995,77.2,74.2,80.3,61.7
3,2,1995,76.0,77.1,80.6,61.4
3,3,1995,77.4,79.6,80.8,61.5
3,4,1995,75.4,78.8,80.6,60.9
3,5,1995,72.6,78.7,82.4,63.7
3,6,1995,79.6,77.5,81.2,63.3
3,7,1995,73.5,77.0,79.6,64.7
3,8,1995,76.9,76.5,80.4,65.9
3,9,1995,76.9,76.0,80.2,68.1
3,10,1995,75.1,78.0,80.7,64.3
3,11,1995,72.1,78.1,82.1,63.1
3,12,1995,77.5,81.2,82.2,67.1
3,13,1995,76.0,78.8,81.5,68.5
3,14,1995,77.1,79.8,82.0,69.1
3,15,1995,80.2,79.9,81.4,68.8
3,16,1995,82.4,80.7,81.8,74.5
3,17,1995,81.6,78.7,81.0,74.5
3,18,1995,83.3,77.6,82.5,76.3
3,19,1995,84.4,79.2,83.8,76.1
3,20,1995,86.2,81.0,82.4,76.5
3,21,1995,86.9,86.5,81.6,74.8
3,22,1995,85.1,85.3,81.8,76.3
3,23,1995,84.2,83.7,83.7,81.8
3,24,1995,87.8,82.1,83.3,82.3
3,25,1995,86.4,80.8,84.0,75.4
3,26,1995,85.6,78.8,84.2,71.9
3,27,1995,81.3,78.4,82.6,73.1
3,28,1995,79.5,78.0,84.2,78.1
3,29,1995,na,na,na,na
3,30,1995,82.6,80.6,85.1,73.9
3,31,1995,86.6,79.2,84.3,73.2
4,1,1995,85.5,77.9,84.7,74.9
4,2,1995,83.1,80.0,84.6,74.9
4,3,1995,84.8,84.2,84.2,74.3
4,4,1995,83.5,84.2,84.5,75.5
4,5,1995,82.9,82.9,84.3,78.1
4,6,1995,86.9,81.5,84.6,78.3
4,7,1995,87.5,80.3,86.1,80.6
4,8,1995,88.1,80.4,88.1,82.0
4,9,1995,87.7,82.1,87.2,84.1
4,10,1995,87.2,83.3,85.4,84.9
4,11,1995,85.0,86.1,84.7,80.9
4,12,1995,90.1,83.6,83.8,79.6
4,13,1995,86.9,82.8,86.8,78.7
4,14,1995,85.6,80.9,86.4,82.9
4,15,1995,87.3,80.9,85.3,84.9
4,16,1995,86.0,81.6,84.8,86.4
4,17,1995,87.7,83.0,86.8,86.2
4,18,1995,87.4,84.5,86.9,82.9
4,19,1995,90.1,86.9,86.0,84.3
4,20,1995,85.8,85.9,85.2,79.7
4,21,1995,86.2,85.6,86.3,80.5
4,22,1995,88.9,83.3,86.7,85.8
4,23,1995,90.9,85.2,88.3,85.8
4,24,1995,90.9,84.6,87.5,87.9
4,25,1995,91.4,87.1,88.5,90.4
4,26,1995,90.2,89.5,87.1,89.3
4,27,1995,88.0,90.1,86.6,87.0
4,28,1995,89.8,89.0,87.5,89.7
4,29,1995,91.6,88.6,88.2,90.0
4,30,1995,92.1,87.6,88.4,92.9
5,1,1995,90.9,86.2,88.4,90.8
5,2,1995,89.7,85.9,89.2,86.9
5,3,1995,90.1,87.0,88.1,90.5
5,4,1995,90.0,88.7,87.9,89.4
5,5,1995,89.6,87.4,82.1,89.0
5,6,1995,89.4,87.5,77.8,87.5
5,7,1995,89.8,88.3,78.3,92.3
5,8,1995,87.0,86.7,78.3,89.6
5,9,1995,86.9,86.4,84.6,92.4
5,10,1995,79.3,86.3,85.1,90.3
5,11,1995,81.9,85.9,90.1,93.0
5,12,1995,82.3,86.4,89.9,94.5
5,13,1995,81.9,86.9,87.9,96.1
5,14,1995,81.8,86.3,88.7,95.5
5,15,1995,80.3,86.4,87.3,94.7
5,16,1995,79.2,86.9,89.2,98.7
5,17,1995,84.0,87.1,89.6,97.4
5,18,1995,90.0,86.8,89.4,95.2
5,19,1995,87.6,86.5,86.5,96.2
5,20,1995,85.4,86.3,83.3,96.1
5,21,1995,86.0,86.2,86.5,95.0
5,22,1995,88.7,85.6,87.2,93.1
5,23,1995,88.3,85.7,88.6,91.0
5,24,1995,88.9,85.9,87.1,91.6
5,25,1995,90.2,85.5,85.0,91.2
5,26,1995,91.6,86.6,86.6,93.1
5,27,1995,92.0,87.5,86.1,94.7
5,28,1995,91.3,87.6,87.1,94.7
5,29,1995,89.4,88.7,88.8,94.4
5,30,1995,88.7,88.6,90.3,96.4
5,31,1995,88.9,87.6,91.0,97.5
6,1,1995,89.0,87.2,90.5,98.2
6,2,1995,89.1,87.6,91.0,101.7
6,3,1995,88.9,87.9,90.7,99.9
6,4,1995,88.3,87.6,92.2,101.1
6,5,1995,81.8,87.2,91.9,99.1
6,6,1995,86.1,88.3,92.6,98.5
6,7,1995,86.5,87.6,94.1,100.1
6,8,1995,87.3,87.9,92.1,99.9
6,9,1995,87.2,88.1,92.7,101.9
6,10,1995,86.7,88.8,93.9,100.7
6,11,1995,82.7,88.5,90.2,100.3
6,12,1995,83.4,88.9,89.7,100.9
6,13,1995,86.2,89.0,88.3,100.7
6,14,1995,87.1,88.4,88.8,102.8
6,15,1995,88.2,86.7,89.2,102.9
6,16,1995,86.4,87.2,87.5,102.3
6,17,1995,82.1,85.8,88.4,101.9
6,18,1995,83.9,87.9,89.7,98.3
6,19,1995,84.3,86.5,89.9,88.0
6,20,1995,79.6,85.9,91.3,81.5
6,21,1995,83.9,86.4,86.5,82.9
6,22,1995,na,87.1,na,79.1
6,23,1995,na,87.7,84.1,86.2
6,24,1995,84.8,86.0,85.6,90.9
6,25,1995,84.3,85.7,85.1,93.4
6,26,1995,84.5,86.7,87.4,94.5
6,27,1995,86.8,87.6,86.7,91.7
6,28,1995,85.6,84.8,85.0,89.5
6,29,1995,87.4,86.2,87.3,91.7
6,30,1995,87.3,86.9,88.9,94.3
7,1,1995,84.4,87.3,89.4,93.8
7,2,1995,82.0,86.0,90.3,97.2
7,3,1995,80.9,86.5,89.7,94.1
7,4,1995,84.7,87.3,89.6,97.3
7,5,1995,83.3,86.8,90.3,94.4
7,6,1995,88.2,86.5,88.0,96.4
7,7,1995,87.0,82.3,87.7,96.0
7,8,1995,87.5,83.7,87.6,91.6
7,9,1995,85.3,82.9,86.5,91.0
7,10,1995,84.0,80.6,81.0,88.5
7,11,1995,83.3,80.6,83.9,86.6
7,12,1995,83.7,81.5,84.5,83.4
7,13,1995,84.4,82.2,86.2,89.5
7,14,1995,84.3,82.9,83.6,90.1
7,15,1995,85.3,80.6,83.8,89.6
7,16,1995,85.5,81.1,84.5,88.9
7,17,1995,83.6,77.7,85.6,89.8
7,18,1995,83.6,82.6,84.1,80.0
7,19,1995,81.9,81.4,83.7,87.3
7,20,1995,81.7,81.7,84.8,88.2
7,21,1995,82.4,80.9,86.3,89.9
7,22,1995,80.3,83.1,85.8,84.9
7,23,1995,82.5,82.4,84.7,85.4
7,24,1995,84.9,83.1,85.3,87.3
7,25,1995,86.5,82.9,81.2,84.8
7,26,1995,86.6,81.8,85.1,82.6
7,27,1995,81.5,83.5,81.6,82.6
7,28,1995,83.7,83.4,83.2,83.4
7,29,1995,86.1,80.5,83.4,86.8
7,30,1995,84.8,81.5,86.0,88.4
7,31,1995,83.0,82.7,84.9,88.4
8,1,1995,84.7,81.3,87.1,85.1
8,2,1995,83.2,82.4,86.9,83.5
8,3,1995,79.8,82.3,86.5,78.9
8,4,1995,83.7,83.3,86.1,81.3
8,5,1995,85.7,83.9,84.6,83.3
8,6,1995,84.0,84.4,85.5,84.2
8,7,1995,84.8,83.4,81.1,81.7
8,8,1995,83.3,83.3,82.9,79.8
8,9,1995,83.5,83.6,83.5,80.9
8,10,1995,83.7,83.2,85.2,82.5
8,11,1995,85.8,83.5,82.9,85.6
8,12,1995,85.6,84.2,86.1,87.2
8,13,1995,86.4,83.7,85.4,85.4
8,14,1995,86.8,83.8,82.9,85.3
8,15,1995,82.6,82.6,81.3,85.5
8,16,1995,83.6,83.9,85.5,85.8
8,17,1995,82.1,83.9,86.3,87.2
8,18,1995,83.5,84.4,81.0,85.8
8,19,1995,83.4,84.4,82.9,82.2
8,20,1995,82.6,83.9,84.8,80.8
8,21,1995,79.5,83.6,83.5,83.8
8,22,1995,84.3,85.2,84.2,83.2
8,23,1995,83.3,85.5,82.7,83.2
8,24,1995,86.6,85.7,85.3,85.8
8,25,1995,85.5,83.8,83.3,82.6
8,26,1995,86.9,84.5,83.4,84.5
8,27,1995,87.0,82.6,85.1,85.0
8,28,1995,87.7,80.7,83.9,79.5
8,29,1995,85.9,79.2,82.9,78.3
8,30,1995,84.1,81.2,83.1,77.8
8,31,1995,85.8,80.0,84.4,82.8
9,1,1995,83.1,78.4,86.9,86.1
9,2,1995,82.5,79.2,86.5,87.9
9,3,1995,80.5,82.9,86.2,80.9
9,4,1995,79.5,82.7,84.5,75.7
9,5,1995,78.8,81.8,85.7,81.3
9,6,1995,84.9,78.5,83.8,83.5
9,7,1995,85.3,81.1,81.7,82.6
9,8,1995,84.7,81.8,82.6,79.6
9,9,1995,81.6,81.6,82.0,77.1
9,10,1995,84.9,81.5,78.3,82.0
9,11,1995,84.8,82.7,79.1,83.9
9,12,1995,85.4,81.1,82.5,83.7
9,13,1995,86.2,78.6,84.1,83.6
9,14,1995,86.5,81.1,85.4,82.8
9,15,1995,82.4,82.5,86.7,86.3
9,16,1995,81.1,82.1,83.5,86.0
9,17,1995,81.6,83.6,83.0,85.6
9,18,1995,81.9,84.5,85.4,82.9
9,19,1995,84.2,82.9,86.2,84.8
9,20,1995,85.6,83.5,86.4,84.3
9,21,1995,86.0,83.0,83.2,85.7
9,22,1995,84.6,80.3,84.0,86.7
9,23,1995,82.4,78.6,86.1,85.6
9,24,1995,82.4,81.5,86.2,85.9
9,25,1995,81.1,82.6,87.3,85.2
9,26,1995,78.5,81.3,87.3,86.8
9,27,1995,80.4,82.1,82.8,86.4
9,28,1995,81.0,83.0,84.0,87.3
9,29,1995,82.8,83.7,83.2,86.5
9,30,1995,82.4,82.3,84.8,86.9
10,1,1995,83.6,81.9,81.8,86.2
10,2,1995,83.2,81.8,84.4,87.0
10,3,1995,85.1,81.0,83.7,86.6
10,4,1995,83.5,81.6,84.6,85.5
10,5,1995,84.2,82.8,78.3,84.3
10,6,1995,83.8,83.8,81.0,84.0
10,7,1995,82.4,85.5,81.2,83.7
10,8,1995,79.0,87.2,78.6,86.8
10,9,1995,79.3,84.1,79.7,84.8
10,10,1995,80.7,84.4,83.6,82.2
10,11,1995,83.1,83.5,81.9,82.9
10,12,1995,84.1,85.8,84.7,81.3
10,13,1995,84.7,84.4,84.7,78.0
10,14,1995,84.4,83.4,82.0,78.7
10,15,1995,85.9,83.8,80.2,80.2
10,16,1995,83.4,82.8,83.8,75.9
10,17,1995,82.4,83.2,83.6,77.5
10,18,1995,79.7,80.3,84.0,78.2
10,19,1995,82.5,81.5,82.8,82.2
10,20,1995,83.0,82.3,82.6,78.3
10,21,1995,80.6,83.9,84.1,78.4
10,22,1995,81.9,84.0,83.4,74.4
10,23,1995,81.8,85.9,81.3,71.8
10,24,1995,78.6,82.6,78.6,68.6
10,25,1995,76.9,84.2,81.4,72.3
10,26,1995,77.8,84.7,79.1,72.6
10,27,1995,78.4,84.5,80.8,73.9
10,28,1995,80.4,83.3,82.1,71.5
10,29,1995,81.0,82.9,80.9,73.6
10,30,1995,78.7,83.4,79.8,74.1
10,31,1995,76.6,80.7,81.8,69.7
11,1,1995,78.7,82.5,83.5,70.5
11,2,1995,77.9,83.0,84.3,69.2
11,3,1995,76.7,78.3,77.6,69.9
11,4,1995,74.0,79.0,77.3,70.4
11,5,1995,76.3,78.0,77.2,69.5
11,6,1995,76.2,79.4,79.9,69.1
11,7,1995,78.9,79.7,79.7,69.9
11,8,1995,78.3,78.9,77.1,71.3
11,9,1995,74.9,77.5,82.5,72.4
11,10,1995,79.1,78.9,83.6,70.9
11,11,1995,76.3,79.4,82.3,69.2
11,12,1995,75.7,81.2,82.7,70.1
11,13,1995,75.6,81.2,81.0,68.5
